AWaypoint,Lat,Lon
VIN,18.7341,105.6683889
VINHA,20.9829,105.1655
VITRA,20.5882,106.0895833
XONAN,9.245,102.8388889
XONUS,18.07,107.2330833
XW,18.7903,105.6671944
ABTOK,6.305,102.2955556
ADGAB,3.095555556,112.6005556
ADNUT,3.359166667,102.6272222
AGOSA,3.144722222,101.2191667
AGPOP,2.178055556,111.2236111
AGSON,2.25,114.8566667
AGUPO,4.593611111,112.8666667
ALEKA,2.516444444,112.6675
ALEMO,2.7625,113.5722222
ANDOK,6.022222222,100
ANIPU,1.028333333,111.4569444
ANIRU,5.153055556,113.0572222
ANOKO,7.136111111,94.41611111
ANSAX,6,95.50805556
ANSOM,4.073333333,101.5386111
ARAVI,5.598611111,117.1136111
BATAR,2.166666667,102.0869444
BAXAL,4.038888889,117.9761111
BENLI,2.786388889,112.8138889
BILIK,3.345277778,101.1275
BOMPO,4.85,112.9525
BOSTI,5.849722222,97.3325
BUTAX,4.436944444,114.8755556
DAKUS,3.803888889,101.3175
DALAN,6.468888889,99.65555556
DAMAL,2.331944444,103.0866667
DARMU,4.0275,112.6766667
DOGOG,5.421666667,114.1283333
DOVOX,5.598611111,100.6502778
DUBAX,6.43,100.1302778
DUKUN,7.648888889,97.51916667
DUMOK,2.299166667,102.0041667
EMRAN,8.575,94.41666667
ENKOL,2.372777778,102.3044444
GEMAS,2.533333333,102.5305556
GIVAL,7,98
GOBAS,3.356388889,100.9561111
GOLUD,6.285,102.2766667
GOMAT,5.953333333,99.93888889
GONAD,2.860555556,112.0891667
GOTLA,4.291388889,99.33222222
GULIB,4.287222222,111.1091667
GUNBO,4.865555556,102.8313889
GUNIP,4.498055556,99.53055556
GUPTA,2.163333333,102.6416667
MAMOK,4.085,115.7866667
IDKUT,8.004722222,95.50472222
MAPSO,8.058333333,97.21555556
IGEBO,6.235833333,95.08083333
IGOGU,7.516944444,94.41666667
MATSU,3.437222222,102.1038889
IGREX,9.724444444,94.41666667
MEKAR,6.503888889,96.49111111
MINAT,8.771666667,96.02527778
INTOT,3.006944444,101.1352778
MULOT,6.161666667,99.97666667
IRMEN,4.668888889,117.1152778
NILAM,6.756388889,95.97638889
ISTAN,3.015277778,102.4813889
KABDU,6.556111111,116.5533333
KADAX,6.265555556,102.2616667
NOPEK,6.603888889,94.41666667
KADMO,4.204166667,114.1355556
OGAKO,1.980555556,102.4355556
KAMUM,1.559722222,111.3208333
OKADA,1.566666667,112.6333333
KARMI,6.494444444,100.5225
OKTOG,2.063611111,109.5836111
KASRI,2.054722222,102.8869444
OSANU,7.69,117.2933333
KEVOX,3.44,113.5972222
OSTAN,5.445833333,116.64
KIMAT,3.162222222,102.3505556
PADLO,5.964444444,114.0238889
KUDAT,6.908333333,116.8333333
PAPDA,5.824722222,100.7536111
LATIL,4.894444444,116.4469444
PAPSA,1.199166667,100.1416667
LATUK,2.921111111,102.5627778
PASVA,6.258055556,102.0752778
LEDAM,4.863611111,113.785
LEKIR,7.275555556,96.87861111
PIBOS,3.351666667,102.0544444
PILAX,2.313888889,111.3905556
POPID,6.488888889,100.5366667
POVUS,6,94.66611111
PUGER,3.399722222,100.2919444
PULIP,3.673333333,101.8966667
REKAN,2.2,111.2388889
REKOS,5.142222222,115.7022222
RIZAN,3.020833333,112.29
RUMID,2.337777778,101.6075
RUSET,7.771111111,97.71583333
SAGEL,6.29,100
SAKMA,4.407777778,113.6652778
SALAX,2.206666667,101.5619444
SAMAK,7.978333333,94.41666667
SANOB,6.586111111,95.66916667
SAPAM,8.076111111,97.55
SAPAT,2.536111111,102.0416667
SAROX,2.800555556,102.6719444
SARVO,3.441666667,112.8361111
SUKAT,3.590277778,101.02
TAMOS,6.529444444,100.3947222
TASEK,5.258055556,98.29888889
TEPUS,4.170277778,100.7591667
TERUS,2.026388889,103.2191667
TOSOK,5.999722222,96.99916667
TOMUD,5.903611111,117.0522222
UDERO,3.930555556,114.4944444
UKIBA,5.313611111,115.0358333
VAMPI,6.182222222,97.58555556
VIDIP,5.685,115.1675
VILAT,5.891111111,100.0991667
VIMAG,6.026666667,118.5433333
VISED,5.462777778,117.1875
VBU,3.153888889,113.0133333
BRU,4.875,114.8816667
VJN,5.89925,116.0339722
VKG,1.47275,110.3119167
VLB,5.29,115.2517222
VLG,4.797222222,115.0022222
MYY,4.299722222,113.9763889
VMI,4.337777778,113.9941667
VSN,5.903783333,118.0748611
VZU,4.032777778,114.7952778
VSI,2.246805556,112.0033889
VTW,4.324444444,118.14
ADNEP,8.062083333,101.0550556
AGEDO,13.40538889,102.3607222
AKATO,13.62098056,99.17197222
ALBOS,14.74491667,101.0283056
ALUMO,10.76496944,101.8563333
ANBOK,18.60961111,101.2132222
ANOBO,11.05639167,102.2448889
APRIL,11.00186111,99.71852778
BASIT,9.57985,102.3522222
BATOK,13.935,101.8982222
BEKOD,16.35477778,99.77677778
BENSA,10.44194444,102.4415278
BETNO,15.09819444,98.20866667
BIDEM,14.36488056,103.7972222
BISOR,12.35180556,102.7798056
BOKAK,12.96008333,102.4964722
BOMAS,17.38466667,98.09697222
BUTRA,15.41827778,105.5960833
DELTA,17.34305556,100.9349444
DIRAX,11.00186111,100.54675
DUGON,8.023547222,102.0968056
EKAVO,11.62680556,99.50686111
EMELA,10.21366389,101.12475
GOMES,13.40169444,101.5849167
GRASO,15.11396667,103.788
HOTEL,13.00172222,100.3300833
IDAGA,11.00188889,100.8966944
IKULA,10.00191667,97.35388889
LIMLA,15.76813889,98.59694444
MACHI,19.20619444,98.58519444
MAKAS,16.82972222,98.49691667
MENAM,13.95669444,102.7914444
MENEX,11.14186111,99.76183333
MOCHI,14.60090556,101.6596944
MUBAN,8.911352778,101.4978056
NOBER,15.27655556,100.6683333
OKENA,16.26894167,104.42575
OSUKA,14.71491667,99.71347222
PADET,10.00191667,98.28869444
PASAT,14.91886944,103.79125
POLAK,13.35169444,100.5817222
PONUK,20.31613889,100.3849444
RAMBU,15.06423333,103.3878611
RAMEI,15.01765833,102.9946389
RECNO,8.573694444,99.47358333
REGOS,12.00180556,100.58175
RELIP,8.075416667,100.4384722
SELKA,14.35997222,101.9965278
SUPIN,8.576263889,101.0720278
SUPOJ,10.27837222,100.2056389
SURIX,10.99974444,101.8373611
SUWAN,8.055416667,101.3383333
TANEK,14.05161111,98.97191667
TATEL,17.48466667,98.76355556
TAVUN,10,96.55333333
TIKAL,8.03875,101.7466389
TOMIP,19.18458333,101.2631944
TONIK,9.293366667,101.9851944
TOPER,14.58497222,102.7297778
UKERA,12.03534722,100.0193056
UPNEP,9.703638889,100.4934444
UTHAI,7.002138889,99.49691667
UTTAR,17.71802778,100.4516667
VUTHI,14.83526389,99.95702778
YAKUA,17.73744167,101.5143333
TPG,0.903611111,104.5144444
PU,1.423333333,103.9333333
VKB,6.163,102.314
VKL,2.724,101.738
MITOS,1.975,102.102
VPG,5.279,100.26
PEKAN,3.383,103.423
PEKANBARU,0.533,101.45
HTY,6.1,100.387
PALEMBANG,-2.9,104.7
PALDI,3.155,103.525
PULAU,2.916,104.11
KINABALU,5.899,116.033
LABUAN,5.29,115.251
BRUNEI,4.875,114.881
BINTULU,3.153,113.013
SIBU,2.246,112.003
KUCHING,1.472,110.311
PONTIANAK,-0.07,109.375
MIRI,4.337,113.994
OMEGA,-0.38,111.12
VELPI,3.873,104.095
MALBI,4.288,106.213
ANHOA,9.787,105.908
CONSON,8.732,106.626
APARI,-2.04,107.84
RUSMA,-1.36,107.369
PR,9.741,118.752
GUGIT,5.542,102.562
NOBEN,12.78,116.74
TUNPO,10.06,104.589
TOKON,11.7,119.674
DAGAK,9.463,108.441
VAVUM,11.49,114.765
TAMIB,3.02,112.29
WIDIA,-0.87,108.887
LAWIB,-1.01,109.1
GUVIL,-7.28,105.243
ADBOP,8.5,104.083
KERTEH,4.537,103.428
VKN,3.776,103.21
YUANA,-0.63,108.515
IPDOL,4.853055556,103.9888889
KEXOL,4.658333333,104.1616667
ELALO,4.211111111,104.5580556
ESBUM,4.869444444,104.475
PU90,2.894722222,103.6433333
PU20,1.758333333,103.97
UDONO,,
